actor_id,population,year,created,last_updated,datasource_id
OC_ACTOR_274,4922,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_275,1112,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_276,395,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_277,535,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_278,3228,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_279,1362,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_280,404,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_281,1553,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_282,2923,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_283,1309,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_284,451,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_285,791,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_286,2445,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_287,12411,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_288,1857,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_289,86,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_290,5367,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_291,1330,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_292,1540,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_293,503,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_294,4184,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_295,6144,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_296,951,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_297,115333,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_298,27808,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_299,437,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_300,40965,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_301,1047,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_302,13068,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_303,722,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_304,9146,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
